"oil_USD","imp_price_mom","miacr_31","neer_mom","gdp_per_cap_SA","cpi_all_mom"
0.0564157729204897,-0.003,0.0439,-0.003,-0.000211175443650902,0.011824066706813
-0.0727024505755036,0.01,0.0416,-0.008,-0.000139545291098386,0.0118374572664496
0.0100847971532492,-0.013,0.0415,-0.003,-4.66396156317828e-05,0.00913981264665373
0.0959849754328412,-0.015,0.0526,-0.004,7.31319987101742e-05,0.00845445320658131
0.0847298345643956,-0.02,0.0508,-0.001,0.000205397953238595,0.00680300109325608
0.110573038641681,-0.009,0.0484,0.005,0.00034187593821855,0.00585795163064385
-0.063778962313271,0.016,0.041,-0.002,0.000470853839225072,0.00685749997540237
-0.0696667382338667,-0.003,0.0449,-0.008,0.000567473595329382,0.00694835659905671
-0.0884613653070319,-0.012,0.0662,-0.004,0.000628056620167072,0.00777351102903763
0.0973336297075256,-0.011,0.0733,0.005,0.000663047347114976,0.00787248190673409
0.105649246947571,0.008,0.0674,-0.002,0.000692691636547949,0.0119279203459088
-0.0858033212539731,0.021,0.0654,-0.01,0.000732802099922658,0.0115160618438232
0.0782862189683255,-0.006,0.0538,-0.009,0.000793042849679182,0.00688842112059486
0.103341232668006,0.001,0.0433,0,0.000874597700000201,0.00437416797727225
-0.0426984941105477,0.017,0.04,0.007,0.000970610312649001,0.00594105861719908
0.060181216398683,0.026,0.0349,-0.012,0.00106109112896302,0.00470435421001458
0.0253314544445971,-0.005,0.0452,-0.002,0.00110689421166654,0.00866206994727635
-0.0762800604438905,0.005,0.0386,0.001,0.00109792075367654,0.00883252771190224
-0.126417999822515,0.014,0.0415,-0.004,0.00105051631077924,0.00499466121147901
-0.0743963036875934,-0.006,0.0507,-0.001,0.00100896181633114,0.004030143306654
0.122899331697443,-0.005,0.0637,0.005,0.00100421146022089,0.0066392808578155
-0.0687489670624375,0.012,0.0595,0.006,0.00105842432576164,0.00765974040222942
-0.0499464698028591,0.018,0.0505,-0.002,0.00118703009021903,0.00497128630314058
0.0585557945930466,-0.005,0.063,-0.003,0.00139006250697715,0.00668231458424583
0.120380678549349,0.004,0.0555,0.001,0.00164495578711854,0.00481779667028261
-0.0211218252504173,0.01,0.048,0.005,0.00189399718783001,0.00657676830826125
0.0215601974400066,0.01,0.0504,0.003,0.00212678551664602,0.00724584527768361
0.0620244071447296,0.003,0.045,-0.001,0.0023638022482082,0.0111270334369139
0.0662705100204031,-0.002,0.0389,0.001,0.00264131518091215,0.0106172617428323
-0.0768993630415586,0.025,0.0575,-0.001,0.00296172707700304,0.00763122643068705
0.0971252006040251,-0.007,0.0698,0.003,0.00327538050063136,0.0115762264965931
0.128402408756576,0.01,0.0786,0.002,0.00345897420998131,0.0172515303797125
-0.0184434895135084,0.016,0.0754,0.004,0.00343382868927122,0.0125704678865795
0.0575406618739045,0.019,0.069,-0.001,0.00315371250846308,0.01115577575503
-0.0142668015344007,-0.003,0.0557,0.004,0.00260805494784844,0.011712409095712
0.0789118252925336,0.013,0.068,0.005,0.001783853052161,0.00810793758903678
0.000598862186060423,0.011,0.0715,0.001,0.000707146997312336,0.0108199781233486
0.0986427324153238,0.036,0.0666,-0.001,-0.000495726502260929,0.0148863698003113
0.138806309940385,0.009,0.0635,0.005,-0.00178711391166786,0.0141811676242814
0.0918130723456807,-0.006,0.0728,0.001,-0.00312845956576702,0.0111990179755329
-0.122496208339767,0.011,0.0633,0.002,-0.00438481196666807,0.00703547539139953
-0.0958133908108367,0.014,0.0815,0.003,-0.00551400064132412,0.00999191543082851
-0.139083481415295,-0.029,0.1069,0.009,-0.00647312424973912,0.0114219346558034
-0.414123175186941,-0.021,0.1323,-0.021,-0.00713534598477672,0.0101758852163936
-0.219075751388498,-0.049,0.2254,-0.015,-0.00745444720704125,0.00874469899612146
-0.214098942682549,-0.03,0.2126,0.045,-0.00741467104454596,0.0068357210698402
0.0733893239511496,0.021,0.2748,0.096,-0.00700554529657005,0.0127590636262756
-0.000667779664528023,-0.012,0.2119,0.067,-0.00624461809101184,0.0128765167571523
0.0611091344508194,-0.022,0.1579,-0.025,-0.00520461328198785,0.0117623245636346
0.028089414183873,0.004,0.1497,-0.02,-0.00406625472514222,0.00772200138229637
0.280220498374247,-0.002,0.1191,-0.019,-0.00290584672744743,0.00637080224599614
0.0504157169740189,0.02,0.1535,-0.011,-0.00177762954412852,0.00739701009346864
0.0364930599917432,0.016,0.1102,0.02,-0.000796572525663564,0.0079175144464253
-0.0303661261000938,0.004,0.1059,0.012,2.5456778878663e-05,0.00587228463742249
-0.015979230437809,0.009,0.1079,-0.014,0.000709677345732906,0.00289908805779073
0.0948129925875563,0.013,0.0934,-0.03,0.00125250993558801,0.00134167316953757
0.0460983729863464,0.006,0.1068,-0.008,0.00166420963323866,0.00334537278113503
-0.00915485740788302,0.01,0.1004,0.019,0.00193032957644323,0.00384875036610779
-0.0913542850740718,-0.005,0.0986,-0.013,0.00198223603108438,0.00629739949126045
0.0845957461500264,-0.003,0.0674,-0.018,0.00181619491784879,0.00564573326738225
0.0585050989888414,-0.018,0.0663,-0.024,0.00148932788094225,0.00515236698934
0.0560849944562207,0.003,0.08,-0.016,0.00113097726764622,0.00388612571013234
-0.153685619225818,0,0.0401,-0.003,0.00081645485328341,0.00560194716687635
0.00176139875308845,-0.031,0.0548,0.006,0.000592189599085025,0.00523361035458232
0.057985351594307,-0.007,0.0481,0.013,0.00049800949671841,0.00490005964023336
-0.0520466109033988,0.029,0.044,0.003,0.000528651233460131,0.0108716212850864
